title,description,category,duration,time_to_deadline,description_length,is_urgent,priority
Дослідити місцеві пам'ятки в хутір Київ,Розрахувати бюджет на наради.,Подорожі,215,29.0,29,0,2
Тренування на біцепс,Тренування на біцепс.,Спорт,240,18.0,21,0,2
Зробити підготовка звіту,Організувати наради для команди.,Робота,159,10.0,32,0,3
Дослідити місцеві пам'ятки в місто Золоте,Дослідити місцеві визначні пам'ятки в хутір Бахмут.,Подорожі,270,1.0,51,0,3
Вивчити 18 нових слів,Створити презентацію на тему маркетингова кампанія.,Навчання,345,3.0,51,0,2
Вивчити 11 нових слів,Створити презентацію на тему маркетингова кампанія.,Навчання,25,24.0,51,0,1
Організувати наради,Написати email клієнту щодо маркетингова кампанія.,Робота,332,27.0,50,0,3
Завершити підготовка звіту,Підготувати фінансовий звіт.,Робота,145,21.0,28,0,3
Написати email,Організувати наради для команди.,Робота,212,14.0,32,0,3
Підготуватися до спортивні змагання,Пробігти 8 км.,Спорт,70,1.0,14,0,3
Підготуватися до спортивні змагання,Підготуватися до спортивні змагання.,Спорт,424,23.0,36,0,2
Зробити підготовка звіту,Підготувати звіт про маркетингова кампанія.,Робота,177,25.0,43,0,3
Спланувати похід в кіно з друзями,Забронювати готель для вихідного дня.,Особисте,89,10.0,37,0,2
Забронювати готель,Зібрати речі для поїздка.,Подорожі,53,26.0,25,0,1
Організувати наради,Забронювати готель для вихідного дня.,Особисте,189,,37,0,2
Розрахувати бюджет на наради,Дослідити місцеві визначні пам'ятки в хутір Новгород-Сіверський.,Подорожі,41,2.0,64,0,2
Забронювати готель,,Подорожі,441,12.0,25,0,2
Дослідити місцеві пам'ятки в селище Белз,Розрахувати бюджет на наради.,Подорожі,138,23.0,29,0,2
Дослідити місцеві пам'ятки в місто Гола Пристань,Спланувати поїздку до хутір Ніжин.,Подорожі,285,4.0,34,0,2
Вивчити 17 нових слів,Вивчити 11 нових слів.,Навчання,27,15.0,22,0,1
Тренування на біцепс,Підготуватися до спортивні змагання.,Спорт,60,26.0,36,0,1
Створити презентацію на тему маркетингова кампанія,Вивчити 17 нових слів.,Навчання,332,25.0,22,0,2
Прочитати маркетингова кампанія,Виконати завдання з математики.,Навчання,256,5.0,31,0,2
Вивчити 11 нових слів,Прочитати розділ маркетингова кампанія.,Навчання,52,25.0,39,0,1
Забронювати готель для вихідного дня,Прибрати спортзал.,Особисте,367,3.0,18,0,2
Тренування на біцепс,Зайнятися кардіо.,Спорт,273,20.0,17,0,2
Дослідити місцеві пам'ятки в селище Берегове,Розрахувати бюджет на наради.,Подорожі,406,14.0,29,0,2
Відвідати спортзал з родиною,Прибрати спортзал.,Особисте,127,8.0,18,0,2
Підготуватися до спортивні змагання,Тренування на біцепс.,Спорт,475,3.0,21,0,2
Забронювати готель для вихідного дня,Відвідати спортзал з родиною.,Особисте,220,4.0,29,0,2
Тренування на біцепс,Тренування на біцепс.,Спорт,138,29.0,21,0,2
Прибрати спортзал,Прибрати спортзал.,Особисте,146,-1.0,18,1,3
Завершити підготовка звіту,Підготувати звіт про маркетингова кампанія.,Робота,308,9.0,43,0,3
Прибрати спортзал,Прибрати спортзал.,Особисте,294,25.0,18,0,2
Організувати наради,Організувати наради.,Особисте,256,9.0,20,0,2
Розрахувати бюджет на наради,Спланувати поїздку до місто Городня.,Подорожі,477,15.0,36,0,2
Забронювати готель,Спланувати поїздку до хутір Сквира.,Подорожі,87,,35,0,2
Прочитати маркетингова кампанія,Створити презентацію на тему маркетингова кампанія.,Навчання,401,28.0,51,0,2
Забронювати готель,,Подорожі,434,-1.0,52,1,3
Розрахувати бюджет на наради,Дослідити місцеві визначні пам'ятки в село Звенигородка.,Подорожі,409,25.0,56,0,2
Зробити підготовка звіту,Завершити проєктний аналіз перед 1984-06-30.,Робота,125,16.0,44,0,3
Розрахувати бюджет на наради,Розрахувати бюджет на наради.,Подорожі,447,26.0,29,0,2
Зробити підготовка звіту,Написати email клієнту щодо маркетингова кампанія.,Робота,278,27.0,50,0,3
Зайнятися кардіо,Підготуватися до спортивні змагання.,Спорт,362,30.0,36,0,2
Зібрати речі для поїздка,Розрахувати бюджет на наради.,Подорожі,239,1.0,29,0,3
Підготуватися до спортивні змагання,Відвідати спортзал для спорту.,Спорт,344,27.0,30,0,2
Спланувати поїздку до селище Жидачів,Розрахувати бюджет на наради.,Подорожі,193,9.0,29,0,2
Пробігти 6 км,,Спорт,390,,14,0,2
Розрахувати бюджет на наради,Спланувати поїздку до місто Зборів.,Подорожі,274,11.0,35,0,2
Виконати завдання з математики,Створити презентацію на тему маркетингова кампанія.,Навчання,95,8.0,51,0,2
Пробігти 10 км,Підготуватися до спортивні змагання.,Спорт,166,22.0,36,0,2
Відвідати спортзал для спорту,Відвідати спортзал для спорту.,Спорт,239,0.0,30,1,3
Створити презентацію на тему маркетингова кампанія,Виконати завдання з математики.,Навчання,276,26.0,31,0,2
Організувати наради,Прибрати спортзал.,Особисте,302,25.0,18,0,2
Зайнятися кардіо,Відвідати спортзал для спорту.,Спорт,135,28.0,30,0,2
Організувати наради,,Робота,182,5.0,28,0,3
Дослідити місцеві пам'ятки в селище Мерефа,Дослідити місцеві визначні пам'ятки в хутір Покров.,Подорожі,461,6.0,51,0,2
Зайнятися кардіо,Відвідати спортзал для спорту.,Спорт,141,21.0,30,0,2
Тренування на біцепс,Підготуватися до спортивні змагання.,Спорт,26,4.0,36,0,2
Прибрати спортзал,Організувати наради.,Особисте,148,11.0,20,0,2
Пробігти 9 км,Підготуватися до спортивні змагання.,Спорт,307,12.0,36,0,2
Завершити підготовка звіту,Організувати наради для команди.,Робота,215,23.0,32,0,3
Прочитати маркетингова кампанія,Виконати завдання з математики.,Навчання,474,17.0,31,0,2
Розрахувати бюджет на наради,Зібрати речі для поїздка.,Подорожі,126,8.0,25,0,2
Спланувати похід в кіно з друзями,Прибрати спортзал.,Особисте,292,,18,0,2
Організувати наради,Підготувати фінансовий звіт.,Робота,202,14.0,28,0,3
Вивчити 7 нових слів,Вивчити 16 нових слів.,Навчання,43,12.0,22,0,1
Прибрати спортзал,Спланувати похід в кіно з друзями.,Особисте,187,11.0,34,0,2
Спланувати похід в кіно з друзями,Спланувати похід в кіно з друзями.,Особисте,99,12.0,34,0,2
Вивчити 6 нових слів,,Навчання,219,21.0,24,0,2
Зібрати речі для поїздка,Забронювати готель.,Подорожі,258,30.0,19,0,2
Спланувати похід в кіно з друзями,Забронювати готель для вихідного дня.,Особисте,69,,37,0,2
Організувати наради,Підготувати звіт про маркетингова кампанія.,Робота,367,7.0,43,0,3
Зробити підготовка звіту,Підготувати фінансовий звіт.,Робота,328,13.0,28,0,3
Відвідати спортзал для спорту,Відвідати спортзал для спорту.,Спорт,195,8.0,30,0,2
Написати email,Підготувати звіт про маркетингова кампанія.,Робота,454,4.0,43,0,3
Організувати наради,Забронювати готель для вихідного дня.,Особисте,174,6.0,37,0,2
Прочитати маркетингова кампанія,Прочитати розділ маркетингова кампанія.,Навчання,419,0.0,39,1,3
Забронювати готель,Зібрати речі для поїздка.,Подорожі,109,,25,1,3
Виконати завдання з математики,Виконати завдання з математики.,Навчання,385,7.0,31,0,2
Підготуватися до спортивні змагання,Підготуватися до спортивні змагання.,Спорт,267,,36,0,2
Прибрати спортзал,Організувати наради.,Особисте,372,18.0,20,0,2
Підготувати фінансовий звіт,Підготувати звіт про маркетингова кампанія.,Робота,236,16.0,43,0,3
Підготуватися до наради,Підготуватися до наради.,Навчання,381,12.0,24,0,2
Пробігти 6 км,Пробігти 7 км.,Спорт,172,30.0,14,0,2
Спланувати поїздку до місто Узин,Забронювати готель.,Подорожі,356,13.0,19,0,2
Прочитати маркетингова кампанія,Виконати завдання з математики.,Навчання,166,21.0,31,0,2
Зібрати речі для поїздка,,Подорожі,224,-1.0,29,1,3
Створити презентацію на тему маркетингова кампанія,Створити презентацію на тему маркетингова кампанія.,Навчання,342,22.0,51,0,2
Спланувати похід в кіно з друзями,Прибрати спортзал.,Особисте,329,15.0,18,0,2
Тренування на біцепс,Пробігти 1 км.,Спорт,244,4.0,14,0,2
Спланувати похід в кіно з друзями,Організувати наради.,Особисте,446,13.0,20,0,2
Підготувати фінансовий звіт,Написати email клієнту щодо маркетингова кампанія.,Робота,205,25.0,50,0,3
Забронювати готель,Розрахувати бюджет на наради.,Подорожі,277,3.0,29,0,2
Організувати наради,Відвідати спортзал з родиною.,Особисте,425,19.0,29,0,2
Зробити підготовка звіту,Організувати наради для команди.,Робота,392,26.0,32,0,3
Відвідати спортзал для спорту,Підготуватися до спортивні змагання.,Спорт,343,21.0,36,0,2
Розрахувати бюджет на наради,Розрахувати бюджет на наради.,Подорожі,352,16.0,29,0,2
Забронювати готель,Спланувати поїздку до село Українка.,Подорожі,460,11.0,36,0,2
Вивчити 6 нових слів,Створити презентацію на тему маркетингова кампанія.,Навчання,438,28.0,51,0,2
Вивчити 12 нових слів,Прочитати розділ маркетингова кампанія.,Навчання,30,4.0,39,0,2
Вивчити 17 нових слів,Створити презентацію на тему маркетингова кампанія.,Навчання,61,17.0,51,0,2
Підготувати фінансовий звіт,Організувати наради для команди.,Робота,308,9.0,32,0,3
Підготуватися до спортивні змагання,Відвідати спортзал для спорту.,Спорт,142,21.0,30,0,2
Зібрати речі для поїздка,Розрахувати бюджет на наради.,Подорожі,237,3.0,29,0,2
Завершити підготовка звіту,Завершити проєктний аналіз перед 1985-03-18.,Робота,34,,44,0,1
Підготуватися до спортивні змагання,Пробігти 7 км.,Спорт,425,20.0,14,0,2
Зайнятися кардіо,Зайнятися кардіо.,Спорт,253,22.0,17,0,2
Забронювати готель для вихідного дня,Організувати наради.,Особисте,272,18.0,20,0,2
Спланувати похід в кіно з друзями,Організувати наради.,Особисте,306,30.0,20,0,2
Прибрати спортзал,Відвідати спортзал з родиною.,Особисте,44,29.0,29,0,1
Створити презентацію на тему маркетингова кампанія,Виконати завдання з математики.,Навчання,245,8.0,31,0,2
Тренування на біцепс,Тренування на біцепс.,Спорт,331,16.0,21,0,2
Розрахувати бюджет на наради,Зібрати речі для поїздка.,Подорожі,226,21.0,25,0,2
Забронювати готель для вихідного дня,Організувати наради.,Особисте,100,28.0,20,0,2
Створити презентацію на тему маркетингова кампанія,Вивчити 9 нових слів.,Навчання,227,21.0,21,0,2
Відвідати спортзал з родиною,Спланувати похід в кіно з друзями.,Особисте,91,-1.0,34,1,3
Зайнятися кардіо,,Спорт,478,17.0,14,0,2
Зібрати речі для поїздка,Розрахувати бюджет на наради.,Подорожі,157,28.0,29,0,2
Зібрати речі для поїздка,Розрахувати бюджет на наради.,Подорожі,433,10.0,29,0,2
Зібрати речі для поїздка,Забронювати готель.,Подорожі,107,5.0,19,0,2
Спланувати поїздку до місто Красногорівка,Розрахувати бюджет на наради.,Подорожі,333,22.0,29,0,2
Підготувати фінансовий звіт,Підготувати звіт про маркетингова кампанія.,Робота,99,16.0,43,0,2
Спланувати поїздку до місто Вуглегірськ,Зібрати речі для поїздка.,Подорожі,262,0.0,25,1,3
Підготуватися до наради,Підготуватися до наради.,Навчання,97,8.0,24,0,2
Створити презентацію на тему маркетингова кампанія,Виконати завдання з математики.,Навчання,437,19.0,31,0,2
Створити презентацію на тему маркетингова кампанія,Прочитати розділ маркетингова кампанія.,Навчання,360,14.0,39,0,2
Організувати наради,Організувати наради.,Особисте,440,,20,0,2
Спланувати похід в кіно з друзями,Забронювати готель для вихідного дня.,Особисте,88,12.0,37,0,2
Забронювати готель,Забронювати готель.,Подорожі,137,11.0,19,0,2
Тренування на біцепс,Відвідати спортзал для спорту.,Спорт,67,5.0,30,0,2
Підготувати фінансовий звіт,Підготувати звіт про маркетингова кампанія.,Робота,337,9.0,43,0,3
Створити презентацію на тему маркетингова кампанія,Прочитати розділ маркетингова кампанія.,Навчання,166,24.0,39,0,2
Підготуватися до наради,Прочитати розділ маркетингова кампанія.,Навчання,130,11.0,39,0,2
Спланувати похід в кіно з друзями,Організувати наради.,Особисте,24,9.0,20,0,1
Спланувати поїздку до селище Іллінці,Зібрати речі для поїздка.,Подорожі,238,19.0,25,0,2
Організувати наради,Написати email клієнту щодо маркетингова кампанія.,Робота,339,10.0,50,0,3
Вивчити 9 нових слів,Виконати завдання з математики.,Навчання,100,13.0,31,0,2
Зробити підготовка звіту,Організувати наради для команди.,Робота,416,4.0,32,0,3
Створити презентацію на тему маркетингова кампанія,Створити презентацію на тему маркетингова кампанія.,Навчання,66,14.0,51,0,2
Дослідити місцеві пам'ятки в селище Зеленодольськ,Забронювати готель.,Подорожі,118,25.0,19,0,2
Створити презентацію на тему маркетингова кампанія,Створити презентацію на тему маркетингова кампанія.,Навчання,49,30.0,51,0,1
Спланувати поїздку до хутір Златопіль,Дослідити місцеві визначні пам'ятки в хутір Селидове.,Подорожі,433,8.0,53,0,2
Відвідати спортзал для спорту,Тренування на біцепс.,Спорт,128,15.0,21,0,2
Організувати наради,Підготувати фінансовий звіт.,Робота,69,1.0,28,0,3
Підготуватися до наради,Прочитати розділ маркетингова кампанія.,Навчання,356,16.0,39,0,2
Спланувати похід в кіно з друзями,Забронювати готель для вихідного дня.,Особисте,261,16.0,37,0,2
Організувати наради,Спланувати похід в кіно з друзями.,Особисте,111,25.0,34,0,2
Забронювати готель,Забронювати готель.,Подорожі,284,25.0,19,0,2
Завершити підготовка звіту,,Робота,31,1.0,28,0,3
Підготуватися до наради,Вивчити 6 нових слів.,Навчання,437,15.0,21,0,2
Завершити підготовка звіту,Написати email клієнту щодо маркетингова кампанія.,Робота,310,27.0,50,0,3
Спланувати похід в кіно з друзями,Відвідати спортзал з родиною.,Особисте,328,3.0,29,0,2
Тренування на біцепс,Тренування на біцепс.,Спорт,35,,21,0,1
Організувати наради,Організувати наради для команди.,Робота,81,6.0,32,0,2
Дослідити місцеві пам'ятки в село Світлодарськ,Спланувати поїздку до хутір Чуднів.,Подорожі,292,16.0,35,0,2
Тренування на біцепс,Пробігти 8 км.,Спорт,60,1.0,14,0,3
Зробити підготовка звіту,Завершити проєктний аналіз перед 1976-11-18.,Робота,341,24.0,44,0,3
Написати email,Підготувати звіт про маркетингова кампанія.,Робота,249,19.0,43,0,3
Забронювати готель для вихідного дня,Відвідати спортзал з родиною.,Особисте,30,14.0,29,0,1
Підготуватися до спортивні змагання,Пробігти 4 км.,Спорт,189,19.0,14,0,2
Підготувати фінансовий звіт,Завершити проєктний аналіз перед 1983-01-19.,Робота,158,4.0,44,0,3
Спланувати поїздку до хутір Снігурівка,Розрахувати бюджет на наради.,Подорожі,104,7.0,29,0,2
Написати email,Підготувати звіт про маркетингова кампанія.,Робота,312,8.0,43,0,3
Спланувати поїздку до хутір Погребище,Дослідити місцеві визначні пам'ятки в хутір Амвросіївка.,Подорожі,136,6.0,56,0,2
Забронювати готель,Спланувати поїздку до селище Луцьк.,Подорожі,435,20.0,35,0,2
Зібрати речі для поїздка,Дослідити місцеві визначні пам'ятки в хутір Інкерман.,Подорожі,469,16.0,53,0,2
Зібрати речі для поїздка,Спланувати поїздку до селище Конотоп.,Подорожі,187,22.0,37,0,2
Зібрати речі для поїздка,Забронювати готель.,Подорожі,232,10.0,19,0,2
Зайнятися кардіо,Тренування на біцепс.,Спорт,320,2.0,21,0,2
Забронювати готель для вихідного дня,,Особисте,169,15.0,34,0,2
Відвідати спортзал з родиною,Прибрати спортзал.,Особисте,85,,18,0,2
Завершити підготовка звіту,Завершити проєктний аналіз перед 2016-02-12.,Робота,92,24.0,44,0,2
Організувати наради,Підготувати фінансовий звіт.,Робота,33,11.0,28,0,1
Відвідати спортзал для спорту,Пробігти 8 км.,Спорт,432,10.0,14,0,2
Підготуватися до наради,Створити презентацію на тему маркетингова кампанія.,Навчання,200,21.0,51,0,2
Завершити підготовка звіту,Організувати наради для команди.,Робота,466,8.0,32,0,3
Відвідати спортзал з родиною,Відвідати спортзал з родиною.,Особисте,329,27.0,29,0,2
Підготуватися до наради,Виконати завдання з математики.,Навчання,63,14.0,31,0,2
Розрахувати бюджет на наради,Зібрати речі для поїздка.,Подорожі,328,28.0,25,0,2
Спланувати поїздку до місто Білозерське,Дослідити місцеві визначні пам'ятки в селище Соледар.,Подорожі,186,6.0,53,0,2
Відвідати спортзал з родиною,Прибрати спортзал.,Особисте,177,0.0,18,1,3
Зробити підготовка звіту,Завершити проєктний аналіз перед 1985-01-09.,Робота,353,30.0,44,0,3
Створити презентацію на тему маркетингова кампанія,Виконати завдання з математики.,Навчання,328,24.0,31,0,2
Організувати наради,Спланувати похід в кіно з друзями.,Особисте,469,2.0,34,0,2
Дослідити місцеві пам'ятки в селище Кам'янське,Забронювати готель.,Подорожі,420,22.0,19,0,2
Забронювати готель для вихідного дня,Спланувати похід в кіно з друзями.,Особисте,98,-1.0,34,1,3
Дослідити місцеві пам'ятки в селище Черкаси,Забронювати готель.,Подорожі,291,18.0,19,0,2
Забронювати готель для вихідного дня,Відвідати спортзал з родиною.,Особисте,312,8.0,29,0,2
Виконати завдання з математики,Виконати завдання з математики.,Навчання,433,0.0,31,1,3
Зібрати речі для поїздка,Зібрати речі для поїздка.,Подорожі,200,16.0,25,0,2
Вивчити 17 нових слів,Виконати завдання з математики.,Навчання,407,21.0,31,0,2
Підготувати фінансовий звіт,Завершити проєктний аналіз перед 2009-06-22.,Робота,401,9.0,44,0,3
Зібрати речі для поїздка,Спланувати поїздку до місто Біла Церква.,Подорожі,420,23.0,40,0,2
Прочитати маркетингова кампанія,Підготуватися до наради.,Навчання,64,5.0,24,0,2
Створити презентацію на тему маркетингова кампанія,Підготуватися до наради.,Навчання,101,26.0,24,0,2
Підготувати фінансовий звіт,Підготувати фінансовий звіт.,Робота,379,3.0,28,0,3
Пробігти 8 км,Тренування на біцепс.,Спорт,124,11.0,21,0,2
Вивчити 14 нових слів,Створити презентацію на тему маркетингова кампанія.,Навчання,296,18.0,51,0,2
Підготуватися до наради,Створити презентацію на тему маркетингова кампанія.,Навчання,312,20.0,51,0,2
Відвідати спортзал для спорту,Зайнятися кардіо.,Спорт,385,16.0,17,0,2
Розрахувати бюджет на наради,Спланувати поїздку до село Березань.,Подорожі,261,4.0,36,0,2
Забронювати готель для вихідного дня,Забронювати готель для вихідного дня.,Особисте,299,26.0,37,0,2
Створити презентацію на тему маркетингова кампанія,Прочитати розділ маркетингова кампанія.,Навчання,433,12.0,39,0,2
Дослідити місцеві пам'ятки в село Нетішин,Зібрати речі для поїздка.,Подорожі,392,25.0,25,0,2
Вивчити 16 нових слів,Виконати завдання з математики.,Навчання,383,22.0,31,0,2
Відвідати спортзал для спорту,Підготуватися до спортивні змагання.,Спорт,411,9.0,36,0,2
Пробігти 1 км,Відвідати спортзал для спорту.,Спорт,245,20.0,30,0,2
Спланувати похід в кіно з друзями,,Особисте,208,28.0,34,0,2
Спланувати похід в кіно з друзями,Відвідати спортзал з родиною.,Особисте,70,-1.0,29,1,3
Зібрати речі для поїздка,Дослідити місцеві визначні пам'ятки в селище Полтава.,Подорожі,59,20.0,53,0,1
Організувати наради,Підготувати фінансовий звіт.,Робота,379,-1.0,28,1,3
Підготуватися до наради,Прочитати розділ маркетингова кампанія.,Навчання,332,30.0,39,0,2
Підготувати фінансовий звіт,Організувати наради для команди.,Робота,369,11.0,32,0,3
Підготувати фінансовий звіт,Підготувати фінансовий звіт.,Робота,148,23.0,28,0,3
Написати email,Організувати наради для команди.,Робота,131,,32,0,3
Відвідати спортзал для спорту,Відвідати спортзал для спорту.,Спорт,238,12.0,30,0,2
Розрахувати бюджет на наради,Спланувати поїздку до місто Ладижин.,Подорожі,178,14.0,36,0,2
Відвідати спортзал з родиною,Організувати наради.,Особисте,217,20.0,20,0,2
Дослідити місцеві пам'ятки в селище Хмільник,Розрахувати бюджет на наради.,Подорожі,195,7.0,29,0,2
Завершити підготовка звіту,Підготувати фінансовий звіт.,Робота,215,10.0,28,0,3
Підготуватися до спортивні змагання,Зайнятися кардіо.,Спорт,258,9.0,17,0,2
Спланувати поїздку до місто Канів,Зібрати речі для поїздка.,Подорожі,31,23.0,25,0,1
Виконати завдання з математики,Підготуватися до наради.,Навчання,66,22.0,24,0,2
Завершити підготовка звіту,Підготувати звіт про маркетингова кампанія.,Робота,221,3.0,43,0,3
Відвідати спортзал для спорту,Пробігти 4 км.,Спорт,335,24.0,14,0,2
Відвідати спортзал для спорту,,Спорт,328,19.0,30,0,2
Створити презентацію на тему маркетингова кампанія,Створити презентацію на тему маркетингова кампанія.,Навчання,408,24.0,51,0,2
Спланувати поїздку до хутір Волочиськ,Спланувати поїздку до хутір Кам'янка-Дніпровська.,Подорожі,424,,49,0,2
Зробити підготовка звіту,Організувати наради для команди.,Робота,456,25.0,32,0,3
Прочитати маркетингова кампанія,Підготуватися до наради.,Навчання,239,15.0,24,0,2
Зайнятися кардіо,Відвідати спортзал для спорту.,Спорт,105,-1.0,30,1,3
Розрахувати бюджет на наради,Спланувати поїздку до селище Бурштин.,Подорожі,443,20.0,37,0,2
Завершити підготовка звіту,Написати email клієнту щодо маркетингова кампанія.,Робота,354,3.0,50,0,3
Підготуватися до спортивні змагання,Підготуватися до спортивні змагання.,Спорт,172,,36,0,2
Відвідати спортзал для спорту,Відвідати спортзал для спорту.,Спорт,174,10.0,30,0,2
